win%,rpg,runs,2b,3b,hr,rbi,bb,so,batting avg,obp,slg,ops,tb,era,tshutout,saves,HRa,Ks,whip,po,a,e,dp,fld%,
0.463,4.23,685,298,27,149,658,479,1236,0.257,0.32,0.401,0.721,2213,4.18,14,40,154,1268,1.402,4310,1550,126,137,0.979,
0.543,4.64,752,263,21,177,710,467,922,0.268,0.332,0.42,0.752,2303,4.09,11,43,136,1149,1.356,4339,1663,103,158,0.983,
0.562,4.88,790,293,30,188,761,522,1218,0.272,0.338,0.436,0.774,2432,4.01,9,43,158,1130,1.327,4359,1608,72,142,0.988,
0.426,3.99,646,290,20,128,601,545,1184,0.248,0.322,0.378,0.7,2076,4.3,4,34,147,967,1.43,4299,1814,110,179,0.982,
0.512,4.75,770,270,54,173,741,585,1274,0.263,0.336,0.425,0.76,2349,4.14,12,35,139,1234,1.338,4326,1707,101,182,0.984,
0.5,4.64,751,308,32,152,717,546,1147,0.268,0.335,0.415,0.75,2343,4.3,5,32,142,1056,1.372,4333,1668,109,171,0.982,
0.494,4.44,719,294,37,152,686,514,1375,0.254,0.321,0.403,0.724,2227,4.08,17,39,134,1168,1.378,4315,1502,123,130,0.979,
0.469,3.77,611,252,25,108,577,415,1025,0.247,0.303,0.362,0.665,1974,4.09,11,45,140,1210,1.385,4318,1597,103,135,0.983,
0.414,4.17,676,279,31,121,640,471,905,0.274,0.331,0.399,0.73,2238,4.97,3,44,176,1035,1.465,4310,1588,121,138,0.98,
0.494,4.2,681,276,19,155,656,466,1070,0.248,0.311,0.39,0.702,2142,4.04,9,39,148,1130,1.371,4348,1562,113,116,0.981,
0.494,4.12,667,270,29,120,621,533,1184,0.252,0.322,0.379,0.7,2056,4.01,16,41,134,1274,1.292,4325,1589,98,124,0.984,
0.475,4.63,750,293,33,182,710,546,1216,0.262,0.335,0.424,0.759,2376,4.58,7,35,173,1258,1.438,4317,1516,101,142,0.983,
0.58,4.82,781,318,41,142,749,559,967,0.273,0.341,0.422,0.762,2347,3.95,13,40,155,1048,1.291,4358,1710,78,150,0.987,
0.488,4.05,656,266,40,128,625,502,1095,0.249,0.314,0.383,0.697,2091,3.7,19,36,135,1106,1.365,4359,1665,87,159,0.986,
0.586,5.3,859,275,32,201,823,662,1136,0.267,0.35,0.436,0.786,2427,4.06,8,39,179,1154,1.31,4327,1522,69,161,0.988,
0.5,4.09,663,276,30,109,619,527,1061,0.256,0.324,0.378,0.702,2059,3.56,17,38,153,1070,1.276,4295,1704,99,147,0.984,
0.599,4.77,772,290,34,166,736,560,1064,0.26,0.332,0.413,0.745,2307,3.67,21,40,168,1183,1.248,4369,1687,83,158,0.986,
0.352,3.62,587,276,27,126,570,463,1207,0.242,0.304,0.373,0.678,2011,5,6,31,167,1026,1.491,4235,1654,127,120,0.979,
0.556,4.1,665,236,24,132,630,538,1183,0.246,0.317,0.371,0.689,2018,3.39,20,49,139,1295,1.251,4369,1626,72,141,0.988,
0.377,3.17,513,227,16,101,485,459,1184,0.236,0.298,0.339,0.637,1836,3.93,10,38,157,973,1.289,4314,1657,110,145,0.982,
0.568,4.3,697,284,30,162,660,487,1099,0.257,0.321,0.408,0.729,2241,3.36,17,57,134,1331,1.271,4383,1485,73,110,0.988,
0.531,4.54,736,285,18,150,689,541,1027,0.263,0.332,0.402,0.733,2227,3.57,16,32,133,1094,1.299,4361,1872,99,172,0.984,
0.593,4.95,802,295,37,160,769,672,1292,0.247,0.333,0.403,0.736,2192,3.78,12,51,175,1189,1.255,4361,1499,85,134,0.986,
0.556,4.86,787,268,25,162,740,511,986,0.276,0.338,0.419,0.757,2360,3.93,8,46,162,1181,1.31,4366,1499,105,133,0.982,
0.525,4.66,755,319,21,257,732,471,1164,0.248,0.312,0.454,0.766,2496,4.22,11,45,150,1184,1.351,4322,1691,92,172,0.985,
0.426,4.04,655,250,31,149,634,503,1220,0.25,0.318,0.39,0.708,2114,4.13,5,37,151,1068,1.38,4305,1657,127,148,0.979,
